縣市,鄉鎮市區,號次,總統/副總統,得票數,得票率%
苗栗縣,泰安鄉,2,韓國瑜/張善政,2743,75.8363
苗栗縣,泰安鄉,3,蔡英文/賴清德,772,21.3437
苗栗縣,西湖鄉,1,宋楚瑜/余湘,217,5.0035
苗栗縣,西湖鄉,2,韓國瑜/張善政,2618,60.3643
苗栗縣,西湖鄉,3,蔡英文/賴清德,1502,34.6322
苗栗縣,通霄鎮,1,宋楚瑜/余湘,893,4.4121
苗栗縣,通霄鎮,2,韓國瑜/張善政,7952,39.2885
苗栗縣,通霄鎮,3,蔡英文/賴清德,11395,56.2994
苗栗縣,竹南鎮,1,宋楚瑜/余湘,2718,5.4631
苗栗縣,竹南鎮,2,韓國瑜/張善政,21395,43.0033
苗栗縣,竹南鎮,3,蔡英文/賴清德,25639,51.5336
苗栗縣,三義鄉,1,宋楚瑜/余湘,476,4.6648
苗栗縣,三義鄉,2,韓國瑜/張善政,5756,56.4093
